Version: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Suffix,Eat1,Eat2,Eat3,Gho1,Gho2,Had1,Htb1,Iagi,Iatt,Idef,Ihid,Iint,Isib,Istr,Isx1,Ncl1,Ncl3,Ncl4,Ncl5,Ncl6,Neg1,Neg2,Neg3,Neg4,Neg5,Neg6,Neu1,Neu3,Neu4,Nso1,Nso3,Owk1,Owk2,Owk3,Owk4,Ply1,Ply2,Ply3,Ply4,Ply5,Prg1,Prg3,Prg4,Prg5,Uls1,Uls2,Uls3,Uls4,Uls5,Ulsu,Usl1,aani,aare,aart,abpx,abpy,abuf,acap,acat,acdn,achd,adur,aeat,aefl,aefs,ahdu,aher,ahky,aite,alev,alsk,amat,amcs,amsp,anam,ansf,aord,aorf,aoro,arac,aran,arar,areq,aret,arhk,arlv,arpx,arpy,arqa,arut,asat,ata0,atar,atat,atp1,aub1,aubx,auby,bsk1,bsk2,bsk3,fak1,fak2,fak3,fak5
AP00,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP00"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP01,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP01"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP02,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP02"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP03,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP03"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP04,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP04"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP05,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP05"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP06,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP06"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP07,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP07"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP08,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP08"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
AP09,AHad,,,,,,"{ [1]=0.0000, }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{ [1]=0.0000, }",,0,-11,"{ [1]=""BP09"", }",,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""","{ [1]=""vulnerable,invulnerable,self"", }","""""",,,,,,,,,,,
