Version: 2,,,,,,,
ID,Suffix,fart,frac,fta0,ftat,ftip,fube
BP00,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCyclone.blp""",,"""""","""""","""风熊猫-龙卷风""","""该单位正处于龙卷风中，无法移动，攻击和施法"""
BP01,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCritterChicken.blp""",,"""""","""""","""共享信使""","""该信使现在共享，友方可以控制"""
BP02,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSpellShieldAmulet.blp""",,"""""","""""","""不朽-法术抵挡""","""阻挡一次指向性魔法技能"""
BP03,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBash.blp""",,"""""","""""","""不朽-致残""","""攻击概率使敌人进入残废状态"""
BP04,BHad,"""ReplaceableTextures\\CommandButtons\\BTNThickFur.blp""",,"""""","""""","""不朽-力量""","""随着时间的增加血量、攻击力和护甲逐渐增加；无法被幻象攻击"""
BP05,BHad,"""ReplaceableTextures\\CommandButtons\\BTNReincarnation.blp""",,"""""","""""","""捕猎者-生命光环""","""增加生命上限"""
BP06,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGnollCommandAura.blp""",,"""""","""""","""头狼-命令光环""","""增加攻击力"""
BP07,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDevotion.blp""",,"""""","""""","""枭兽-坚韧光环""","""增加护甲"""
BP08,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTornado.blp""",,"""""","""""","""枭兽-龙卷风""","""该单位被龙卷风作用，被减速了，持续受到伤害"""
BP09,BHad,"""ReplaceableTextures\\CommandButtons\\BTNTornado.blp""",,"""""","""""","""|cffff3300枭兽-龙卷风|r""","""受到龙卷风作用，移动速度降低并受到持续伤害"""
BP0A,BHad,"""ReplaceableTextures\\CommandButtons\\BTNCommand.blp""",,"""""","""""","""乌尔萨-耐久光环""","""增加攻击速度"""
BP0B,BHad,"""ReplaceableTextures\\CommandButtons\\BTNBrilliance.blp""",,"""""","""""","""巨魔牧师-辉煌光环""","""增加魔法恢复"""
BP0C,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGenericSpellImmunity.blp""",,"""""","""""","""中立-魔法抗性""","""增加魔法抗性"""
BP0D,BHad,"""ReplaceableTextures\\CommandButtons\\BTNSeaGiantPulverize.blp""",,"""""","""""","""狗头人-速度光环""","""增加移动速度"""
BP0E,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnholyAura.blp""",,"""""","""""","""萨特-邪恶光环""","""生命回复速度提升"""
BP0F,BHad,"""ReplaceableTextures\\CommandButtons\\BTNPurge.blp""",,"""""","""""","""|cffff3300萨特-净化|r""","""清除敌方正面Buff"""
BP0G,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDevotion.blp""",,"""""","""""","""蓝龙-专注光环""","""处于护甲增益状态中"""
BP0H,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnholyFrenzy.blp""",,"""""","""""","""首领-不洁之力""","""攻击更迅速"""
BP0I,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDrum.blp""",,"""""","""""","""首领-战鼓光环""","""增加15%的基础攻击力，增加15攻击速度"""
BP0J,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFrostArmor.blp""",,"""""","""""","""食人魔-霜冻护甲""","""增加护甲值"""
BP0K,BHad,"""ReplaceableTextures\\CommandButtons\\BTNColdArrows.blp""",,"""""","""""","""|cffff3300鬼魂-霜冻攻击|r""","""被减速了"""
BP0L,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDevotion.blp""",,"""""","""""","""黑龙-龙隐光环""","""增加护甲值"""
BP0M,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDecay.blp""",,"""""","""""","""腐朽""","""该单位力量增加了"""
BP0N,BHad,"""ReplaceableTextures\\CommandButtons\\BTNDecay.blp""",,"""""","""""","""|cffff3300腐朽|r""","""该单位力量减少了"""
BP0O,BHad,"""ReplaceableTextures\\CommandButtons\\BTNFleshGolem.blp""",,"""""","""""","""|cffff3300血肉傀儡|r""","""该单位感染了瘟疫，被攻击时会受到额外的伤害"""
BP0P,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUnholyFrenzy.blp""",,"""""","""""","""狂暴""","""该单位处于狂暴状态，处于技能免疫状态"""
BP0Q,BHad,"""ReplaceableTextures\\CommandButtons\\BTNGhoulFrenzy.blp""",,"""""","""""","""|cffff3300撕裂伤口|r""","""攻击这个单位将会恢复一定的生命值，被减速了"""
BP0R,BHad,"""ReplaceableTextures\\CommandButtons\\BTNUndeadLoad.blp""",,"""""","""""","""噬魂鬼的感染""","""被吸收或被感染，该单位处于无敌状态！"""
BP0S,BHad,"""ReplaceableTextures\\CommandButtons\\BTNLightningShield.blp""",,"""""","""""","""无光之盾""","""能吸收一定量的伤害"""
BP0T,BHad,"""ReplaceableTextures\\CommandButtons\\BTNIceBlade.blp""",,"""""","""""","""霜之哀伤""","""该单位正在攻击带有深渊印记的单位，增加移动速度，攻击更迅速"""
BP0U,BHad,"""ReplaceableTextures\\CommandButtons\\BTNIceBlade.blp""",,"""""","""""","""|cffff3300霜之哀伤|r""","""目标受到传说之剑的攻击，被减速了，行动更缓慢了"""
