Version: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Suffix,ua1b,ua1c,ua1d,ua1f,ua1g,ua1h,ua1m,ua1p,ua1q,ua1r,ua1s,ua1t,ua1w,ua1z,ua2b,ua2c,ua2d,ua2f,ua2g,ua2h,ua2m,ua2p,ua2q,ua2r,ua2s,ua2t,ua2w,ua2z,uaap,uabi,uabr,uacq,uaen,uagi,uagp,ualp,uamn,uani,uarm,uawt,ubba,ubdg,ubdi,ubld,uble,ubpr,ubpx,ubpy,ubs1,ubs2,ubsi,ubsl,ubui,ucam,ucar,ucbo,ucbs,uclb,uclg,uclr,ucol,ucpt,ucs1,ucs2,ucua,udaa,udea,udef,udep,udl1,udl2,udp1,udp2,udtm,udty,udu1,udu2,udup,uept,uerd,ufle,ufma,ufoo,ufor,ufrd,ugol,ugor,uhab,uhd1,uhd2,uhhb,uhhd,uhhm,uhom,uhot,uhpm,uhpr,uhrt,uibo,uico,uimz,uinp,uint,uisz,ulba,ulbd,ulbs,ulev,ulfi,ulfo,ulos,ulpx,ulpy,ulpz,ulsz,ulum,ulur,uma1,uma2,umas,umdl,umh1,umh2,umis,umpi,umpm,umpr,umvf,umvh,umvr,umvs,umvt,umxp,umxr,unam,unbm,unbr,unsf,uocc,uori,upap,upat,upaw,upgr,upoi,upra,upri,upro,upru,uprw,uqd1,uqd2,urac,urb1,urb2,urpg,urpo,urpp,urpr,urqc,urtm,urun,usca,uscb,usd1,usd2,useu,usew,ushb,ushh,ushr,ushu,ushw,ushx,ushy,usid,usin,usle,uslz,usma,usnd,uspa,uspe,usr1,usr2,usrg,ussc,ussi,usst,ustp,ustr,utaa,utar,utc1,utc2,utcc,utco,utip,utpr,utub,utyp,uubs,uuch,uver,uwal,uwu1,uwu2
o100,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNCritterChicken.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\EasterChicken\\EasterChicken.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""小鸡""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Chicken""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o101,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNRacoon.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\Raccoon\\Raccoon.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""浣熊""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Raccoon""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o102,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNPenguin.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\Penguin\\Penguin.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""小企鹅""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Penguin""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o103,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNSpinyCrab.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\SpiderCrab\\SpiderCrab.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""龙虾医生""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Scarab""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o104,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNSeal.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\Seal\\Seal.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""海豹""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Seal""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o105,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNCritterRabbit.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\EasterRabbit\\EasterRabbit.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""白兔""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.43,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Rabbit""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o106,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNCarrionScarabs.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\undead\\scarab\\scarab.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""食腐甲虫""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.17,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Scarab""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o107,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNDuneWorm.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\DuneWorm\\DuneWorm.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""沙虫""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Scarab""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o108,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNFelBoar.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\Felboar\\Felboar.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""红皮野猪""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""QuillBeast""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
o109,nech,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""normal""",,0,0.0,0,0,"""""",0,,"""""",0,0,0,"""normal""","""""",,,"""AInv""",0.0,500.0,0,0,0.0,,0,"""""","""Flesh""",,15,0,0,1,0.15,,0,0,0.0,0.0,0,,,,1,0,0.0,255,255,255,16.0,0.0,"""""","""""",,"""""",0,0.0,,0.0,0.0,0.0,0.0,2.0,"""medium""",0,0,2.0,0,20.0,1,0,0,4,0.0,0,0,,0.0,0.0,0,0,0,0,,75,0.5,"""Always""",0,"""ReplaceableTextures\\CommandButtons\\BTNSkink.blp""",60.0,0.0,0,0.0,0,0,0,0,,,0,0.0,0.0,60.0,0.0,0,0,,,0,"""units\\critters\\Skink\\Skink.mdl""",,,100,0,0,0.0,0.0,0.0,0.5,350,"""foot""",60.0,60.0,"""小蜥蜴""",0,0,,0.0,0,"""""","""""",0.0,"""""",100,"""""",2,,0,60.0,0.0,0.0,"""human""",0.0,0.0,0,0,0,0,,1,130.0,1.3,1,0.0,0.0,"""e105,e106,e107,e10A""",0,"""""",50.0,1,"""Shadow""",50.0,25.0,25.0,350,350,0,0.0,0,"""Skink""","""Objects\\Spawnmodels\\Orc\\OrcSmallDeathExplode\\OrcSmallDeathExplode.mdl""",,0.0,0.0,0,0.9,,0,0.0,0,,"""ground""",1,1,0,-1,"""动物信使""",,"""动物信使为你运输物品。""","""ancient""","""""",,0,130.0,1,1
