Version: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Suffix,Eat1,Eat2,Eat3,Gho1,Gho2,Had1,Htb1,Iagi,Iatt,Idef,Ihid,Iint,Isib,Istr,Isx1,Ncl1,Ncl3,Ncl4,Ncl5,Ncl6,Neg1,Neg2,Neg3,Neg4,Neg5,Neg6,Neu1,Neu3,Neu4,Nso1,Nso3,Owk1,Owk2,Owk3,Owk4,Ply1,Ply2,Ply3,Ply4,Ply5,Prg1,Prg3,Prg4,Prg5,Uls1,Uls2,Uls3,Uls4,Uls5,Ulsu,Usl1,[1],[2],[3],aani,aare,aart,abpx,abpy,abuf,acap,acat,acdn,achd,adur,aeat,aefl,aefs,ahdu,aher,ahky,aite,alev,alsk,amat,amcs,amsp,anam,ansf,aord,aorf,aoro,arac,aran,arar,areq,aret,arhk,arlv,arpx,arpy,arqa,arut,asat,ata0,atar,atat,atp1,aub1,aubx,auby,bsk1,bsk2,bsk3,fak1,fak2,fak3,fak5
AP00,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP00""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP01,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP01""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP02,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP02""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP03,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP03""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP04,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP04""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP05,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP05""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP06,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP06""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP07,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP07""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP08,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP08""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP09,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP09""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0A,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0A""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0B,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0B""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0C,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0C""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0D,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0D""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0E,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0E""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0F,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0F""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0G,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0G""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0H,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0H""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0I,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0I""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0J,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0J""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
AP0K,AHad,,,,,,{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000おなに0.0000おなに""BP0K""おなに""vulnerable,invulnerable,self""",,,,{,,0,-11,{,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,"""""",{,"""""",,,,,,,,,,,
